,Date,R,Casa v Visitante,-
21,03/25 08:42,-,Bayern (LaikingDast) EsportsvDortmund (KravaRK) Esports,2-2
22,03/25 08:40,-,M'Gladbach (Arcos) EsportsvLeverkusen (vrico) Esports,1-0
23,03/25 08:39,-,Tottenham (dm1trena) EsportsvLiverpool (DangerDim77) Esports,1-1
24,03/25 08:30,-,Leipzig (Hrusch) EsportsvM'Gladbach (Arcos) Esports,2-1
25,03/25 08:30,-,Leverkusen (vrico) EsportsvBayern (LaikingDast) Esports,1-0
26,03/25 08:28,-,Man City (nikkitta) EsportsvArsenal (orlovsky1) Esports,3-0
27,03/25 08:28,-,Man United (slezaintima) EsportsvTottenham (dm1trena) Esports,0-3
28,03/25 08:18,-,CSKA Moscow (Hrusch) EsportsvLokomotiv Moscow (LaikingDast) Esports,1-2
29,03/25 08:18,-,Dynamo Kyiv (vrico) EsportsvShakhtar Donetsk (KravaRK) Esports,2-3
0,03/25 11:54,-,PSG (orlovsky1) EsportsvNapoli (nikkitta) Esports,5-2
1,03/25 11:48,-,Man United (Pablik) EsportsvTottenham (Inquisitor) Esports,1-0
2,03/25 11:48,-,Man City (Olle) EsportsvArsenal (Chellovekk) Esports,0-3
3,03/25 11:42,-,Napoli (nikkitta) EsportsvBayern (dm1trena) Esports,1-1
4,03/25 11:36,-,Liverpool (mooneycb) EsportsvMan City (Olle) Esports,2-1
5,03/25 11:36,-,Arsenal (Chellovekk) EsportsvMan United (Pablik) Esports,2-2
6,03/25 11:30,-,Tottenham (DangerDim77) EsportsvNapoli (nikkitta) Esports,0-1
7,03/25 11:30,-,Bayern (dm1trena) EsportsvPSG (orlovsky1) Esports,0-0
8,03/25 11:24,-,Tottenham (Inquisitor) EsportsvArsenal (Chellovekk) Esports,1-0
9,03/25 11:24,-,Man United (Pablik) EsportsvLiverpool (mooneycb) Esports,3-1
10,03/25 11:18,-,Real Madrid (slezaintima) EsportsvNapoli (nikkitta) Esports,0-0
11,03/25 11:14,-,PSG (orlovsky1) EsportsvTottenham (DangerDim77) Esports,2-1
12,03/25 11:14,-,Man United (Pablik) EsportsvMan City (Olle) Esports,1-4
