,Date,R,Casa v Visitante,-
23,04/17 13:36,-,Belgium (Hrusch) EsportsvSpain (nikkitta) Esports,1-0
24,04/17 13:24,-,Spain (nikkitta) EsportsvBrazil (vrico) Esports,2-0
25,04/17 13:24,-,Germany (DangerDim77) EsportsvPortugal (orlovsky1) Esports,2-1
26,04/17 13:18,-,Portugal (Olle) EsportsvSpain (Inquisitor) Esports,1-2
27,04/17 13:18,-,England (Pablik) EsportsvItaly (white_boy1927) Esports,1-2
28,04/17 13:12,-,Portugal (orlovsky1) EsportsvSpain (nikkitta) Esports,3-2
29,04/17 13:12,-,Brazil (vrico) EsportsvBelgium (Hrusch) Esports,1-1
0,04/17 17:18,-,Liverpool (vrico) EsportsvReal Madrid (orlovsky1) Esports,1-1
1,04/17 17:12,-,Liverpool (Chellovekk) EsportsvTottenham (Flewless_phoenix) Esports,2-2
2,04/17 17:06,-,Barcelona (nikkitta) EsportsvPSG (Hrusch) Esports,1-2
3,04/17 17:06,-,Man City (DangerDim77) EsportsvLiverpool (vrico) Esports,3-2
4,04/17 17:00,-,Tottenham (Flewless_phoenix) EsportsvArsenal (FEARGGWP) Esports,1-1
5,04/17 17:00,-,Man Utd (kalibra) EsportsvLiverpool (Chellovekk) Esports,0-2
6,04/17 16:54,-,Real Madrid (orlovsky1) EsportsvMan City (DangerDim77) Esports,1-1
7,04/17 16:54,-,Liverpool (vrico) EsportsvBarcelona (nikkitta) Esports,0-1
8,04/17 16:48,-,Man Utd (kalibra) EsportsvArsenal (FEARGGWP) Esports,1-1
9,04/17 16:42,-,Barcelona (nikkitta) EsportsvReal Madrid (orlovsky1) Esports,2-4
10,04/17 16:42,-,PSG (Hrusch) EsportsvLiverpool (vrico) Esports,2-1
11,04/17 16:36,-,Tottenham (Flewless_phoenix) EsportsvMan Utd (kalibra) Esports,0-1
12,04/17 16:30,-,Man City (DangerDim77) EsportsvBarcelona (nikkitta) Esports,0-1
13,04/17 16:30,-,Real Madrid (orlovsky1) EsportsvPSG (Hrusch) Esports,2-2
14,04/17 16:24,-,Liverpool (Chellovekk) EsportsvArsenal (FEARGGWP) Esports,0-1
15,04/17 16:18,-,Ajax (orlovsky1) EsportsvMan Utd (vrico) Esports,2-0
16,04/17 16:18,-,Leverkusen (DangerDim77) EsportsvValencia (Hrusch) Esports,2-1
17,04/17 16:12,-,Tottenham (Flewless_phoenix) EsportsvLiverpool (Chellovekk) Esports,2-1
18,04/17 16:06,-,Man Utd (vrico) EsportsvLeverkusen (DangerDim77) Esports,1-0
19,04/17 16:06,-,Valencia (Hrusch) EsportsvPorto (nikkitta) Esports,3-0
20,04/17 16:00,-,Liverpool (Chellovekk) EsportsvMan Utd (kalibra) Esports,1-1
21,04/17 16:00,-,Arsenal (FEARGGWP) EsportsvTottenham (Flewless_phoenix) Esports,0-0
22,04/17 15:54,-,Porto (nikkitta) EsportsvMan Utd (vrico) Esports,0-0
23,04/17 15:54,-,Leverkusen (DangerDim77) EsportsvAjax (orlovsky1) Esports,0-2
24,04/17 15:48,-,PSG (FEARGGWP) EsportsvTottenham (kalibra) Esports,1-0
25,04/17 15:42,-,Man Utd (vrico) EsportsvValencia (Hrusch) Esports,0-4
26,04/17 15:42,-,Ajax (orlovsky1) EsportsvPorto (nikkitta) Esports,1-0
27,04/17 15:36,-,Tottenham (kalibra) EsportsvBayern (Flewless_phoenix) Esports,2-2
28,04/17 15:30,-,Porto (nikkitta) EsportsvLeverkusen (DangerDim77) Esports,3-0
29,04/17 15:30,-,Valencia (Hrusch) EsportsvAjax (orlovsky1) Esports,0-2
0,04/17 20:30,-,Tottenham (MeLToSiK) EsportsvLiverpool (KRaftVK) Esports,0-0
1,04/17 20:30,-,France (Chellovekk) EsportsvBelgium (kalibra) Esports,3-1
2,04/17 20:30,-,Portugal (FEARGGWP) EsportsvSpain (Flewless_phoenix) Esports,2-4
3,04/17 20:30,-,Arsenal (labotryas) EsportsvMan City (Upcake22) Esports,0-0
4,04/17 20:18,-,Atletico Madrid (FEARGGWP) EsportsvInter (kalibra) Esports,1-1
5,04/17 20:06,-,Inter (kalibra) EsportsvAjax (Flewless_phoenix) Esports,0-0
6,04/17 19:54,-,Atletico Madrid (FEARGGWP) EsportsvDortmund (Chellovekk) Esports,0-1
7,04/17 19:42,-,Dortmund (Chellovekk) EsportsvAjax (Flewless_phoenix) Esports,2-1
8,04/17 19:30,-,Ajax (Flewless_phoenix) EsportsvAtletico Madrid (FEARGGWP) Esports,1-3
9,04/17 19:30,-,Inter (kalibra) EsportsvDortmund (Chellovekk) Esports,2-1
10,04/17 19:18,-,Inter (kalibra) EsportsvAtletico Madrid (FEARGGWP) Esports,3-0
11,04/17 19:06,-,Ajax (Flewless_phoenix) EsportsvInter (kalibra) Esports,0-0
12,04/17 18:54,-,Dortmund (Chellovekk) EsportsvAtletico Madrid (FEARGGWP) Esports,1-0
13,04/17 18:42,-,Ajax (Flewless_phoenix) EsportsvDortmund (Chellovekk) Esports,1-0
14,04/17 18:30,-,Atletico Madrid (FEARGGWP) EsportsvAjax (Flewless_phoenix) Esports,2-0
15,04/17 18:30,-,Dortmund (Chellovekk) EsportsvInter (kalibra) Esports,1-0
16,04/17 18:18,-,Real Madrid (orlovsky1) EsportsvLiverpool (vrico) Esports,1-3
17,04/17 18:18,-,Man City (DangerDim77) EsportsvPSG (Hrusch) Esports,1-2
18,04/17 18:06,-,PSG (Hrusch) EsportsvBarcelona (nikkitta) Esports,0-1
19,04/17 18:06,-,Liverpool (vrico) EsportsvMan City (DangerDim77) Esports,1-0
20,04/17 17:54,-,Man City (DangerDim77) EsportsvReal Madrid (orlovsky1) Esports,3-1
21,04/17 17:54,-,Barcelona (nikkitta) EsportsvLiverpool (vrico) Esports,0-0
22,04/17 17:48,-,Arsenal (FEARGGWP) EsportsvMan Utd (kalibra) Esports,2-1
23,04/17 17:42,-,Real Madrid (orlovsky1) EsportsvBarcelona (nikkitta) Esports,1-0
24,04/17 17:42,-,Liverpool (vrico) EsportsvPSG (Hrusch) Esports,0-0
25,04/17 17:36,-,Man Utd (kalibra) EsportsvTottenham (Flewless_phoenix) Esports,1-1
26,04/17 17:30,-,Barcelona (nikkitta) EsportsvMan City (DangerDim77) Esports,1-0
27,04/17 17:30,-,PSG (Hrusch) EsportsvReal Madrid (orlovsky1) Esports,2-2
28,04/17 17:24,-,Arsenal (FEARGGWP) EsportsvLiverpool (Chellovekk) Esports,0-3
29,04/17 17:18,-,PSG (Hrusch) EsportsvMan City (DangerDim77) Esports,1-1
0,04/17 22:30,-,Tottenham (labotryas) EsportsvPSG (Upcake22) Esports,0-0
1,04/17 22:30,-,Napoli (MeLToSiK) EsportsvBayern(KRaftVK) Esports,1-2
2,04/17 22:18,-,Tottenham (MeLToSiK) EsportsvMan Utd (Kray) Esports,4-0
3,04/17 22:18,-,Arsenal (labotryas) EsportsvLiverpool (KRaftVK) Esports,2-0
4,04/17 22:18,-,Portugal (FEARGGWP) EsportsvBelgium (kalibra) Esports,0-3
5,04/17 22:06,-,Liverpool (KRaftVK) EsportsvMan City (Upcake22) Esports,1-1
6,04/17 22:06,-,Man Utd (Kray) EsportsvArsenal (labotryas) Esports,2-2
7,04/17 22:06,-,Belgium (kalibra) EsportsvSpain (Flewless_phoenix) Esports,3-1
8,04/17 21:54,-,Arsenal (labotryas) EsportsvTottenham (MeLToSiK) Esports,4-2
9,04/17 21:54,-,Man City (Upcake22) EsportsvMan Utd (Kray) Esports,0-3
10,04/17 21:54,-,Portugal (FEARGGWP) EsportsvFrance (Chellovekk) Esports,2-0
11,04/17 21:42,-,Man Utd (Kray) EsportsvLiverpool (KRaftVK) Esports,0-2
12,04/17 21:42,-,Tottenham (MeLToSiK) EsportsvMan City (Upcake22) Esports,1-0
13,04/17 21:42,-,France (Chellovekk) EsportsvSpain (Flewless_phoenix) Esports,0-1
14,04/17 21:30,-,Spain (Flewless_phoenix) EsportsvPortugal (FEARGGWP) Esports,1-1
15,04/17 21:30,-,Belgium (kalibra) EsportsvFrance (Chellovekk) Esports,0-2
16,04/17 21:30,-,Man City (Upcake22) EsportsvArsenal (labotryas) Esports,0-2
17,04/17 21:30,-,Liverpool (KRaftVK) EsportsvTottenham (MeLToSiK) Esports,1-1
18,04/17 21:18,-,Man Utd (Kray) EsportsvTottenham (MeLToSiK) Esports,1-2
19,04/17 21:18,-,Liverpool (KRaftVK) EsportsvArsenal (labotryas) Esports,1-0
20,04/17 21:18,-,Belgium (kalibra) EsportsvPortugal (FEARGGWP) Esports,2-0
21,04/17 21:06,-,Arsenal (labotryas) EsportsvMan Utd (Kray) Esports,1-1
22,04/17 21:06,-,Man City (Upcake22) EsportsvLiverpool (KRaftVK) Esports,0-0
23,04/17 21:06,-,Spain (Flewless_phoenix) EsportsvBelgium (kalibra) Esports,0-1
24,04/17 20:54,-,Man Utd (Kray) EsportsvMan City (Upcake22) Esports,3-0
25,04/17 20:54,-,France (Chellovekk) EsportsvPortugal (FEARGGWP) Esports,0-1
26,04/17 20:54,-,Tottenham (MeLToSiK) EsportsvArsenal (labotryas) Esports,1-2
27,04/17 20:42,-,Man City (Upcake22) EsportsvTottenham (MeLToSiK) Esports,0-2
28,04/17 20:42,-,Liverpool (KRaftVK) EsportsvMan Utd (Kray) Esports,1-3
29,04/17 20:42,-,Spain (Flewless_phoenix) EsportsvFrance (Chellovekk) Esports,2-2
0,04/18 01:12,-,Dortmund (KRaftVK) EsportsvChelsea (Kray) Esports,1-4
1,04/18 01:12,-,Ajax (Upcake22) EsportsvAtletico Madrid (MeLToSiK) Esports,1-4
2,04/18 01:00,-,Inter Milan (labotryas) EsportsvAjax (Upcake22) Esports,1-0
3,04/18 01:00,-,Atletico Madrid (MeLToSiK) EsportsvDortmund (KRaftVK) Esports,1-0
4,04/18 00:18,-,Tottenham (labotryas) EsportsvBayern (KRaftVK) Esports,1-2
5,04/18 00:18,-,Napoli (MeLToSiK) EsportsvReal Madrid (Kray) Esports,3-1
6,04/18 00:18,-,Tottenham (labotryas) EsportsvBayern(KRaftVK) Esports,1-2
7,04/18 00:06,-,Bayern (KRaftVK) EsportsvPSG (Upcake22) Esports,1-1
8,04/18 00:06,-,Real Madrid (Kray) EsportsvTottenham (labotryas) Esports,1-3
9,04/18 00:06,-,Bayern(KRaftVK) EsportsvPSG (Upcake22) Esports,1-1
10,04/17 23:54,-,PSG (Upcake22) EsportsvReal Madrid (Kray) Esports,2-0
11,04/17 23:54,-,Tottenham (labotryas) EsportsvNapoli (MeLToSiK) Esports,2-1
12,04/17 23:42,-,Real Madrid (Kray) EsportsvBayern (KRaftVK) Esports,0-2
13,04/17 23:42,-,Napoli (MeLToSiK) EsportsvPSG (Upcake22) Esports,3-1
14,04/17 23:42,-,Real Madrid (Kray) EsportsvBayern(KRaftVK) Esports,0-2
15,04/17 23:30,-,Bayern (KRaftVK) EsportsvNapoli (MeLToSiK) Esports,0-0
16,04/17 23:30,-,PSG (Upcake22) EsportsvTottenham (labotryas) Esports,1-2
17,04/17 23:30,-,Bayern(KRaftVK) EsportsvNapoli (MeLToSiK) Esports,0-0
18,04/17 23:18,-,Bayern (KRaftVK) EsportsvTottenham (labotryas) Esports,0-0
19,04/17 23:18,-,Real Madrid (Kray) EsportsvNapoli (MeLToSiK) Esports,2-2
20,04/17 23:18,-,Bayern(KRaftVK) EsportsvTottenham (labotryas) Esports,0-0
21,04/17 23:06,-,PSG (Upcake22) EsportsvBayern (KRaftVK) Esports,2-1
22,04/17 23:06,-,Tottenham (labotryas) EsportsvReal Madrid (Kray) Esports,2-3
23,04/17 23:06,-,PSG (Upcake22) EsportsvBayern(KRaftVK) Esports,2-1
24,04/17 22:54,-,Napoli (MeLToSiK) EsportsvTottenham (labotryas) Esports,0-0
25,04/17 22:54,-,Real Madrid (Kray) EsportsvPSG (Upcake22) Esports,3-5
26,04/17 22:42,-,Bayern(KRaftVK) EsportsvReal Madrid (Kray) Esports,2-0
27,04/17 22:42,-,PSG (Upcake22) EsportsvNapoli (MeLToSiK) Esports,0-1
28,04/17 22:40,-,Bayern (KRaftVK) EsportsvReal Madrid (Kray) Esports,2-0
29,04/17 22:30,-,Napoli (MeLToSiK) EsportsvBayern (KRaftVK) Esports,1-2
0,04/18 04:12,-,Portugal (MeLToSiK) EsportsvGermany (Upcake22) Esports,3-1
1,04/18 04:00,-,Germany (Upcake22) EsportsvSpain (labotryas) Esports,3-1
2,04/18 04:00,-,Belgium (KRaftVK) EsportsvPortugal (MeLToSiK) Esports,3-0
3,04/18 03:48,-,France (Kray) EsportsvPortugal (MeLToSiK) Esports,2-1
4,04/18 03:48,-,Belgium (KRaftVK) EsportsvSpain (labotryas) Esports,0-2
5,04/18 03:36,-,Germany (Upcake22) EsportsvBelgium (KRaftVK) Esports,2-0
6,04/18 03:36,-,Spain (labotryas) EsportsvFrance (Kray) Esports,1-0
7,04/18 03:24,-,Portugal (MeLToSiK) EsportsvSpain (labotryas) Esports,0-0
8,04/18 03:24,-,France (Kray) EsportsvGermany (Upcake22) Esports,3-0
9,04/18 03:12,-,Belgium (KRaftVK) EsportsvFrance (Kray) Esports,1-1
10,04/18 03:12,-,Germany (Upcake22) EsportsvPortugal (MeLToSiK) Esports,2-0
11,04/18 03:00,-,Spain (labotryas) EsportsvGermany (Upcake22) Esports,1-1
12,04/18 03:00,-,Portugal (MeLToSiK) EsportsvBelgium (KRaftVK) Esports,1-1
13,04/18 02:48,-,Atletico Madrid (MeLToSiK) EsportsvChelsea (Kray) Esports,2-1
14,04/18 02:48,-,Inter Milan (labotryas) EsportsvDortmund (KRaftVK) Esports,0-0
15,04/18 02:36,-,Chelsea (Kray) EsportsvInter Milan (labotryas) Esports,2-2
16,04/18 02:36,-,Dortmund (KRaftVK) EsportsvAjax (Upcake22) Esports,2-2
17,04/18 02:24,-,Inter Milan (labotryas) EsportsvAtletico Madrid (MeLToSiK) Esports,1-1
18,04/18 02:24,-,Ajax (Upcake22) EsportsvChelsea (Kray) Esports,0-1
19,04/18 02:12,-,Chelsea (Kray) EsportsvDortmund (KRaftVK) Esports,0-0
20,04/18 02:12,-,Atletico Madrid (MeLToSiK) EsportsvAjax (Upcake22) Esports,2-2
21,04/18 02:00,-,Ajax (Upcake22) EsportsvInter Milan (labotryas) Esports,2-2
22,04/18 02:00,-,Dortmund (KRaftVK) EsportsvAtletico Madrid (MeLToSiK) Esports,1-1
23,04/18 01:48,-,Chelsea (Kray) EsportsvAtletico Madrid (MeLToSiK) Esports,1-1
24,04/18 01:48,-,Dortmund (KRaftVK) EsportsvInter Milan (labotryas) Esports,0-0
25,04/18 01:36,-,Ajax (Upcake22) EsportsvDortmund (KRaftVK) Esports,0-3
26,04/18 01:36,-,Inter Milan (labotryas) EsportsvChelsea (Kray) Esports,1-2
27,04/18 01:34,-,Dortmund (KRaftVK) EsportsvAjax (Upcake22) Esports,0-3
28,04/18 01:24,-,Atletico Madrid (MeLToSiK) EsportsvInter Milan (labotryas) Esports,2-0
29,04/18 01:24,-,Chelsea (Kray) EsportsvAjax (Upcake22) Esports,2-0
0,04/18 07:10,-,Bayern (Hrusch) EsportsvNapoli (orlovsky1) Esports,2-2
1,04/18 07:00,-,Real Madrid (Laiking Dast) EsportsvTottenham (dm1trena) Esports,1-2
2,04/18 07:00,-,Napoli (orlovsky1) EsportsvPSG (vrico) Esports,3-0
3,04/18 06:48,-,Dynamo Kyiv (orlovsky1) EsportsvSpartak Moscow (Hrusch) Esports,1-2
4,04/18 06:48,-,Shakhtar (LaikingDast) EsportsvLokomotiv Moscow (vrico) Esports,1-2
5,04/18 06:36,-,Lokomotiv Moscow (vrico) EsportsvCSKA (dm1trena) Esports,0-0
6,04/18 06:36,-,Spartak Moscow (Hrusch) EsportsvShakhtar (LaikingDast) Esports,2-1
7,04/18 06:24,-,CSKA (dm1trena) EsportsvSpartak Moscow (Hrusch) Esports,0-1
8,04/18 06:24,-,Shakhtar (LaikingDast) EsportsvDynamo Kyiv (orlovsky1) Esports,1-3
9,04/18 06:12,-,Spartak Moscow (Hrusch) EsportsvLokomotiv Moscow (vrico) Esports,0-0
10,04/18 06:12,-,Dynamo Kyiv (orlovsky1) EsportsvCSKA (dm1trena) Esports,2-4
11,04/18 06:00,-,CSKA (dm1trena) EsportsvShakhtar (LaikingDast) Esports,0-0
12,04/18 06:00,-,Lokomotiv Moscow (vrico) EsportsvDynamo Kyiv (orlovsky1) Esports,0-0
13,04/18 05:48,-,Spartak Moscow (Hrusch) EsportsvDynamo Kyiv (orlovsky1) Esports,1-1
14,04/18 05:48,-,Lokomotiv Moscow (vrico) EsportsvShakhtar (LaikingDast) Esports,0-0
15,04/18 05:36,-,CSKA (dm1trena) EsportsvLokomotiv Moscow (vrico) Esports,3-0
16,04/18 05:36,-,Shakhtar (LaikingDast) EsportsvSpartak Moscow (Hrusch) Esports,1-1
17,04/18 05:24,-,Dynamo Kyiv (orlovsky1) EsportsvShakhtar (LaikingDast) Esports,1-0
18,04/18 05:24,-,Spartak Moscow (Hrusch) EsportsvCSKA (dm1trena) Esports,0-2
19,04/18 05:12,-,Lokomotiv Moscow (vrico) EsportsvSpartak Moscow (Hrusch) Esports,0-0
20,04/18 05:12,-,CSKA (dm1trena) EsportsvDynamo Kyiv (orlovsky1) Esports,1-2
21,04/18 05:00,-,Shakhtar (LaikingDast) EsportsvCSKA (dm1trena) Esports,1-1
22,04/18 05:00,-,Dynamo Kyiv (orlovsky1) EsportsvLokomotiv Moscow (vrico) Esports,0-0
23,04/18 04:48,-,Portugal (MeLToSiK) EsportsvFrance (Kray) Esports,2-2
24,04/18 04:48,-,Spain (labotryas) EsportsvBelgium (KRaftVK) Esports,1-0
25,04/18 04:36,-,Belgium (KRaftVK) EsportsvGermany (Upcake22) Esports,5-0
26,04/18 04:36,-,France (Kray) EsportsvSpain (labotryas) Esports,1-1
27,04/18 04:24,-,Spain (labotryas) EsportsvPortugal (MeLToSiK) Esports,1-1
28,04/18 04:24,-,Germany (Upcake22) EsportsvFrance (Kray) Esports,1-1
29,04/18 04:12,-,France (Kray) EsportsvBelgium (KRaftVK) Esports,2-2
0,04/18 10:30,-,Portugal (dm1trena) EsportsvFrance (LaikingDast) Esports,3-2
1,04/18 10:30,-,Germany (vrico) EsportsvSpain (orlovsky1) Esports,0-1
2,04/18 10:18,-,Germany (vrico) EsportsvFrance (LaikingDast) Esports,0-0
3,04/18 10:18,-,Belgium (Hrusch) EsportsvSpain (orlovsky1) Esports,0-1
4,04/18 10:06,-,Portugal (dm1trena) EsportsvGermany (vrico) Esports,1-1
5,04/18 10:06,-,France (LaikingDast) EsportsvBelgium (Hrusch) Esports,0-0
6,04/18 09:54,-,Spain (orlovsky1) EsportsvFrance (LaikingDast) Esports,1-2
7,04/18 09:54,-,Belgium (Hrusch) EsportsvPortugal (dm1trena) Esports,2-2
8,04/18 09:42,-,Portugal (dm1trena) EsportsvSpain (orlovsky1) Esports,2-2
9,04/18 09:42,-,Germany (vrico) EsportsvBelgium (Hrusch) Esports,1-1
10,04/18 09:30,-,Spain (orlovsky1) EsportsvGermany (vrico) Esports,3-0
11,04/18 09:30,-,France (LaikingDast) EsportsvPortugal (dm1trena) Esports,1-1
12,04/18 08:48,-,Real Madrid (Laiking Dast) EsportsvPSG (vrico) Esports,0-1
13,04/18 08:48,-,Napoli (orlovsky1) EsportsvBayern (Hrusch) Esports,1-0
14,04/18 08:36,-,PSG (vrico) EsportsvTottenham (dm1trena) Esports,0-3
15,04/18 08:36,-,Bayern (Hrusch) EsportsvReal Madrid (Laiking Dast) Esports,0-2
16,04/18 08:24,-,Tottenham (dm1trena) EsportsvBayern (Hrusch) Esports,2-0
17,04/18 08:24,-,Real Madrid (Laiking Dast) EsportsvNapoli (orlovsky1) Esports,4-0
18,04/18 08:12,-,Bayern (Hrusch) EsportsvPSG (vrico) Esports,1-1
19,04/18 08:12,-,Napoli (orlovsky1) EsportsvTottenham (dm1trena) Esports,2-3
20,04/18 08:00,-,Tottenham (dm1trena) EsportsvReal Madrid (Laiking Dast) Esports,0-0
21,04/18 08:00,-,PSG (vrico) EsportsvNapoli (orlovsky1) Esports,1-2
22,04/18 07:48,-,PSG (vrico) EsportsvReal Madrid (Laiking Dast) Esports,0-2
23,04/18 07:46,-,Napoli (orlovsky1) EsportsvBayern (Hrusch) Esports,2-2
24,04/18 07:36,-,Tottenham (dm1trena) EsportsvPSG (vrico) Esports,0-2
25,04/18 07:36,-,Real Madrid (Laiking Dast) EsportsvBayern (Hrusch) Esports,0-2
26,04/18 07:24,-,Napoli (orlovsky1) EsportsvReal Madrid (Laiking Dast) Esports,0-0
27,04/18 07:24,-,Bayern (Hrusch) EsportsvTottenham (dm1trena) Esports,2-1
28,04/18 07:12,-,Tottenham (dm1trena) EsportsvNapoli (orlovsky1) Esports,0-0
29,04/18 07:12,-,PSG (vrico) EsportsvBayern (Hrusch) Esports,1-1
0,04/18 14:00,-,Man City (Skromnuy) EsportsvPSG (Jkey) Esports,4-0
1,04/18 14:00,-,Barcelona (Mr Jab) EsportsvReal Madrid (Bombi1T0) Esports,2-2
2,04/18 13:18,-,Man Utd (LaikingDast) EsportsvPorto (vrico) Esports,3-1
3,04/18 13:18,-,Ajax (orlovsky1) EsportsvValencia (Hrusch) Esports,0-2
4,04/18 13:06,-,Porto (vrico) EsportsvBayer Leverkusen (dm1trena) Esports,0-2
5,04/18 13:06,-,Valencia (Hrusch) EsportsvMan Utd (LaikingDast) Esports,4-0
6,04/18 12:54,-,Bayer Leverkusen (dm1trena) EsportsvValencia (Hrusch) Esports,1-1
7,04/18 12:54,-,Man Utd (LaikingDast) EsportsvAjax (orlovsky1) Esports,1-2
8,04/18 12:42,-,Ajax (orlovsky1) EsportsvBayer Leverkusen (dm1trena) Esports,1-1
9,04/18 12:42,-,Valencia (Hrusch) EsportsvPorto (vrico) Esports,1-1
10,04/18 12:30,-,Bayer Leverkusen (dm1trena) EsportsvMan Utd (LaikingDast) Esports,4-2
11,04/18 12:30,-,Porto (vrico) EsportsvAjax (orlovsky1) Esports,1-3
12,04/18 12:18,-,Porto (vrico) EsportsvMan Utd (LaikingDast) Esports,1-1
13,04/18 12:18,-,Valencia (Hrusch) EsportsvAjax (orlovsky1) Esports,0-1
14,04/18 12:06,-,Man Utd (LaikingDast) EsportsvValencia (Hrusch) Esports,2-1
15,04/18 12:06,-,Bayer Leverkusen (dm1trena) EsportsvPorto (vrico) Esports,1-1
16,04/18 11:54,-,Valencia (Hrusch) EsportsvBayer Leverkusen (dm1trena) Esports,0-2
17,04/18 11:54,-,Ajax (orlovsky1) EsportsvMan Utd (LaikingDast) Esports,3-1
18,04/18 11:42,-,Porto (vrico) EsportsvValencia (Hrusch) Esports,0-0
19,04/18 11:42,-,Bayer Leverkusen (dm1trena) EsportsvAjax (orlovsky1) Esports,2-2
20,04/18 11:30,-,Man Utd (LaikingDast) EsportsvBayer Leverkusen (dm1trena) Esports,1-1
21,04/18 11:30,-,Ajax (orlovsky1) EsportsvPorto (vrico) Esports,0-0
22,04/18 11:18,-,France (LaikingDast) EsportsvGermany (vrico) Esports,0-1
23,04/18 11:18,-,Spain (orlovsky1) EsportsvBelgium (Hrusch) Esports,1-2
24,04/18 11:06,-,Germany (vrico) EsportsvPortugal (dm1trena) Esports,0-3
25,04/18 11:06,-,Belgium (Hrusch) EsportsvFrance (LaikingDast) Esports,0-0
26,04/18 10:54,-,France (LaikingDast) EsportsvSpain (orlovsky1) Esports,1-2
27,04/18 10:54,-,Portugal (dm1trena) EsportsvBelgium (Hrusch) Esports,1-2
28,04/18 10:42,-,Belgium (Hrusch) EsportsvGermany (vrico) Esports,0-1
29,04/18 10:42,-,Spain (orlovsky1) EsportsvPortugal (dm1trena) Esports,1-1
0,04/18 17:00,-,Inter Milan (Jkey) EsportsvLazio (Skromnuy) Esports,0-3
1,04/18 17:00,-,AC Milan (Bombi1t0) EsportsvNapoli (Mr.Jab) Esports,1-3
2,04/18 16:48,-,Inter Milan (Jkey) EsportsvNapoli (Mr.Jab) Esports,1-3
3,04/18 16:48,-,Atalanta (Arcos) EsportsvLazio (Skromnuy) Esports,0-1
4,04/18 16:36,-,Napoli (Mr.Jab) EsportsvAtalanta (Arcos) Esports,0-1
5,04/18 16:36,-,AC Milan (Bombi1t0) EsportsvInter Milan (Jkey) Esports,0-2
6,04/18 16:24,-,Lazio (Skromnuy) EsportsvNapoli (Mr.Jab) Esports,0-0
7,04/18 16:24,-,Atalanta (Arcos) EsportsvAC Milan (Bombi1t0) Esports,0-0
8,04/18 16:12,-,Inter Milan (Jkey) EsportsvAtalanta (Arcos) Esports,0-4
9,04/18 16:12,-,AC Milan (Bombi1t0) EsportsvLazio (Skromnuy) Esports,1-1
10,04/18 16:00,-,Napoli (Mr.Jab) EsportsvAC Milan (Bombi1t0) Esports,2-0
11,04/18 16:00,-,Lazio (Skromnuy) EsportsvInter Milan (Jkey) Esports,7-0
12,04/18 15:48,-,Barcelona (Mr Jab) EsportsvPSG (Jkey) Esports,2-0
13,04/18 15:48,-,Man City (Skromnuy) EsportsvLiverpool (Arcos) Esports,1-2
14,04/18 15:36,-,PSG (Jkey) EsportsvReal Madrid (Bombi1T0) Esports,0-1
15,04/18 15:36,-,Liverpool (Arcos) EsportsvBarcelona (Mr Jab) Esports,1-1
16,04/18 15:24,-,Real Madrid (Bombi1T0) EsportsvLiverpool (Arcos) Esports,2-2
17,04/18 15:24,-,Barcelona (Mr Jab) EsportsvMan City (Skromnuy) Esports,1-1
18,04/18 15:12,-,Liverpool (Arcos) EsportsvPSG (Jkey) Esports,3-1
19,04/18 15:12,-,Man City (Skromnuy) EsportsvReal Madrid (Bombi1T0) Esports,1-1
20,04/18 15:00,-,Real Madrid (Bombi1T0) EsportsvBarcelona (Mr Jab) Esports,1-3
21,04/18 15:00,-,PSG (Jkey) EsportsvMan City (Skromnuy) Esports,0-2
22,04/18 14:48,-,PSG (Jkey) EsportsvBarcelona (Mr Jab) Esports,2-1
23,04/18 14:48,-,Liverpool (Arcos) EsportsvMan City (Skromnuy) Esports,0-0
24,04/18 14:36,-,Real Madrid (Bombi1T0) EsportsvPSG (Jkey) Esports,2-2
25,04/18 14:36,-,Barcelona (Mr Jab) EsportsvLiverpool (Arcos) Esports,0-1
26,04/18 14:24,-,Liverpool (Arcos) EsportsvReal Madrid (Bombi1T0) Esports,1-0
27,04/18 14:24,-,Man City (Skromnuy) EsportsvBarcelona (Mr Jab) Esports,1-2
28,04/18 14:12,-,Real Madrid (Bombi1T0) EsportsvMan City (Skromnuy) Esports,0-0
29,04/18 14:12,-,PSG (Jkey) EsportsvLiverpool (Arcos) Esports,2-3
0,04/18 20:30,-,Portugal (Skromnuy) EsportsvGermany (Jkey) Esports,5-2
1,04/18 20:30,-,Brazil (Mr.Jab) EsportsvBelgium (Bombi1t0) Esports,0-1
2,04/18 20:18,-,Man City (Mr.Jab) EsportsvLiverpool (Jkey) Esports,1-2
3,04/18 20:18,-,Arsenal (Skromnuy) EsportsvMan Utd (Arcos) Esports,0-1
4,04/18 20:06,-,Liverpool (Jkey) EsportsvTottenham (Bombi1t0) Esports,1-1
5,04/18 20:06,-,Man Utd (Arcos) EsportsvMan City (Mr.Jab) Esports,2-1
6,04/18 19:54,-,Man City (Mr.Jab) EsportsvArsenal (Skromnuy) Esports,0-3
7,04/18 19:54,-,Tottenham (Bombi1t0) EsportsvMan Utd (Arcos) Esports,0-1
8,04/18 19:42,-,Man Utd (Arcos) EsportsvLiverpool (Jkey) Esports,3-1
9,04/18 19:42,-,Arsenal (Skromnuy) EsportsvTottenham (Bombi1t0) Esports,0-2
10,04/18 19:30,-,Tottenham (Bombi1t0) EsportsvMan City (Mr.Jab) Esports,1-0
